video_id,filename,path,size_bytes,size_mb,codec_name,codec_long_name,width,height,pixel_format,bits_per_raw_sample,fps,frame_count,duration_s,status,error
RHF_MPM_P24,RHF_MPM_P24.avi,/home/tahiti/PhysMelt/data/raw/NIST_RHF/MPM_AVIs/RHF_MPM_P24.avi,64827400,61.824,,,,,,,,,,error,[Errno 2] No such file or directory: 'ffprobe'
RHF_MPM_P25,RHF_MPM_P25.avi,/home/tahiti/PhysMelt/data/raw/NIST_RHF/MPM_AVIs/RHF_MPM_P25.avi,64827400,61.824,,,,,,,,,,error,[Errno 2] No such file or directory: 'ffprobe'
RHF_MPM_P26,RHF_MPM_P26.avi,/home/tahiti/PhysMelt/data/raw/NIST_RHF/MPM_AVIs/RHF_MPM_P26.avi,64827400,61.824,,,,,,,,,,error,[Errno 2] No such file or directory: 'ffprobe'
RHF_MPM_P27,RHF_MPM_P27.avi,/home/tahiti/PhysMelt/data/raw/NIST_RHF/MPM_AVIs/RHF_MPM_P27.avi,64827400,61.824,,,,,,,,,,error,[Errno 2] No such file or directory: 'ffprobe'
RHF_MPM_P28,RHF_MPM_P28.avi,/home/tahiti/PhysMelt/data/raw/NIST_RHF/MPM_AVIs/RHF_MPM_P28.avi,64827400,61.824,,,,,,,,,,error,[Errno 2] No such file or directory: 'ffprobe'
RHF_MPM_P29,RHF_MPM_P29.avi,/home/tahiti/PhysMelt/data/raw/NIST_RHF/MPM_AVIs/RHF_MPM_P29.avi,64827400,61.824,,,,,,,,,,error,[Errno 2] No such file or directory: 'ffprobe'
RHF_MPM_P30,RHF_MPM_P30.avi,/home/tahiti/PhysMelt/data/raw/NIST_RHF/MPM_AVIs/RHF_MPM_P30.avi,64827400,61.824,,,,,,,,,,error,[Errno 2] No such file or directory: 'ffprobe'
RHF_MPM_P31,RHF_MPM_P31.avi,/home/tahiti/PhysMelt/data/raw/NIST_RHF/MPM_AVIs/RHF_MPM_P31.avi,64827400,61.824,,,,,,,,,,error,[Errno 2] No such file or directory: 'ffprobe'
RHF_MPM_P32,RHF_MPM_P32.avi,/home/tahiti/PhysMelt/data/raw/NIST_RHF/MPM_AVIs/RHF_MPM_P32.avi,64827400,61.824,,,,,,,,,,error,[Errno 2] No such file or directory: 'ffprobe'
RHF_MPM_P33,RHF_MPM_P33.avi,/home/tahiti/PhysMelt/data/raw/NIST_RHF/MPM_AVIs/RHF_MPM_P33.avi,64827400,61.824,,,,,,,,,,error,[Errno 2] No such file or directory: 'ffprobe'
RHF_MPM_P34,RHF_MPM_P34.avi,/home/tahiti/PhysMelt/data/raw/NIST_RHF/MPM_AVIs/RHF_MPM_P34.avi,64827400,61.824,,,,,,,,,,error,[Errno 2] No such file or directory: 'ffprobe'
RHF_MPM_P35,RHF_MPM_P35.avi,/home/tahiti/PhysMelt/data/raw/NIST_RHF/MPM_AVIs/RHF_MPM_P35.avi,64827400,61.824,,,,,,,,,,error,[Errno 2] No such file or directory: 'ffprobe'
RHF_MPM_P36,RHF_MPM_P36.avi,/home/tahiti/PhysMelt/data/raw/NIST_RHF/MPM_AVIs/RHF_MPM_P36.avi,64827400,61.824,,,,,,,,,,error,[Errno 2] No such file or directory: 'ffprobe'
RHF_MPM_P37,RHF_MPM_P37.avi,/home/tahiti/PhysMelt/data/raw/NIST_RHF/MPM_AVIs/RHF_MPM_P37.avi,64827400,61.824,,,,,,,,,,error,[Errno 2] No such file or directory: 'ffprobe'
RHF_MPM_P38,RHF_MPM_P38.avi,/home/tahiti/PhysMelt/data/raw/NIST_RHF/MPM_AVIs/RHF_MPM_P38.avi,64827400,61.824,,,,,,,,,,error,[Errno 2] No such file or directory: 'ffprobe'
RHF_MPM_P39,RHF_MPM_P39.avi,/home/tahiti/PhysMelt/data/raw/NIST_RHF/MPM_AVIs/RHF_MPM_P39.avi,64827400,61.824,,,,,,,,,,error,[Errno 2] No such file or directory: 'ffprobe'
RHF_MPM_P40,RHF_MPM_P40.avi,/home/tahiti/PhysMelt/data/raw/NIST_RHF/MPM_AVIs/RHF_MPM_P40.avi,64827400,61.824,,,,,,,,,,error,[Errno 2] No such file or directory: 'ffprobe'
RHF_MPM_P41,RHF_MPM_P41.avi,/home/tahiti/PhysMelt/data/raw/NIST_RHF/MPM_AVIs/RHF_MPM_P41.avi,64827400,61.824,,,,,,,,,,error,[Errno 2] No such file or directory: 'ffprobe'
RHF_MPM_P42,RHF_MPM_P42.avi,/home/tahiti/PhysMelt/data/raw/NIST_RHF/MPM_AVIs/RHF_MPM_P42.avi,64827400,61.824,,,,,,,,,,error,[Errno 2] No such file or directory: 'ffprobe'
RHF_MPM_P43,RHF_MPM_P43.avi,/home/tahiti/PhysMelt/data/raw/NIST_RHF/MPM_AVIs/RHF_MPM_P43.avi,64827400,61.824,,,,,,,,,,error,[Errno 2] No such file or directory: 'ffprobe'
RHF_MPM_P44,RHF_MPM_P44.avi,/home/tahiti/PhysMelt/data/raw/NIST_RHF/MPM_AVIs/RHF_MPM_P44.avi,64827400,61.824,,,,,,,,,,error,[Errno 2] No such file or directory: 'ffprobe'
RHF_MPM_P45,RHF_MPM_P45.avi,/home/tahiti/PhysMelt/data/raw/NIST_RHF/MPM_AVIs/RHF_MPM_P45.avi,64827400,61.824,,,,,,,,,,error,[Errno 2] No such file or directory: 'ffprobe'
RHF_MPM_P46,RHF_MPM_P46.avi,/home/tahiti/PhysMelt/data/raw/NIST_RHF/MPM_AVIs/RHF_MPM_P46.avi,64827400,61.824,,,,,,,,,,error,[Errno 2] No such file or directory: 'ffprobe'
RHF_MPM_P47,RHF_MPM_P47.avi,/home/tahiti/PhysMelt/data/raw/NIST_RHF/MPM_AVIs/RHF_MPM_P47.avi,64827400,61.824,,,,,,,,,,error,[Errno 2] No such file or directory: 'ffprobe'
RHF_MPM_P48,RHF_MPM_P48.avi,/home/tahiti/PhysMelt/data/raw/NIST_RHF/MPM_AVIs/RHF_MPM_P48.avi,64827400,61.824,,,,,,,,,,error,[Errno 2] No such file or directory: 'ffprobe'
RHF_MPM_P49,RHF_MPM_P49.avi,/home/tahiti/PhysMelt/data/raw/NIST_RHF/MPM_AVIs/RHF_MPM_P49.avi,64827400,61.824,,,,,,,,,,error,[Errno 2] No such file or directory: 'ffprobe'
RHF_MPM_P50,RHF_MPM_P50.avi,/home/tahiti/PhysMelt/data/raw/NIST_RHF/MPM_AVIs/RHF_MPM_P50.avi,64827400,61.824,,,,,,,,,,error,[Errno 2] No such file or directory: 'ffprobe'
RHF_MPM_P51,RHF_MPM_P51.avi,/home/tahiti/PhysMelt/data/raw/NIST_RHF/MPM_AVIs/RHF_MPM_P51.avi,64827400,61.824,,,,,,,,,,error,[Errno 2] No such file or directory: 'ffprobe'
RHF_MPM_P52,RHF_MPM_P52.avi,/home/tahiti/PhysMelt/data/raw/NIST_RHF/MPM_AVIs/RHF_MPM_P52.avi,64827400,61.824,,,,,,,,,,error,[Errno 2] No such file or directory: 'ffprobe'
RHF_MPM_P53,RHF_MPM_P53.avi,/home/tahiti/PhysMelt/data/raw/NIST_RHF/MPM_AVIs/RHF_MPM_P53.avi,64827400,61.824,,,,,,,,,,error,[Errno 2] No such file or directory: 'ffprobe'
RHF_MPM_P54,RHF_MPM_P54.avi,/home/tahiti/PhysMelt/data/raw/NIST_RHF/MPM_AVIs/RHF_MPM_P54.avi,64827400,61.824,,,,,,,,,,error,[Errno 2] No such file or directory: 'ffprobe'
RHF_MPM_P55,RHF_MPM_P55.avi,/home/tahiti/PhysMelt/data/raw/NIST_RHF/MPM_AVIs/RHF_MPM_P55.avi,64827400,61.824,,,,,,,,,,error,[Errno 2] No such file or directory: 'ffprobe'
