case,part,frame_start,frame_end,mean_power_w,max_power_w,mean_p_high,corrected_fraction
high_power,45,653,957,191.78773,195.3,0.5433734192894025,0.02666666666666667
temporal_cleanup,1,751,1055,191.67129666666665,195.24,0.5981346918875304,0.18666666666666668
transition_rich,9,221,532,164.15475666666666,194.89,0.41342765814736926,0.06
uncertain_boundary,36,750,1054,173.41447666666667,181.83,0.14683315218661078,0.11
