video_id,frame_index,physical_time_s,physical_time_ms,pixel_min,pixel_max,mean_intensity,std_intensity,total_intensity,effective_area,p95,p99,p999,entropy,otsu_threshold,segmentation_threshold,threshold_area,threshold_area_fraction,bbox_width,bbox_height,bbox_fill,threshold_centroid_x,threshold_centroid_y,nonzero_fraction,saturation_fraction,bright_fraction_64,bright_fraction_128,bright_fraction_200,active_candidate,centroid_x,centroid_y,major_sigma,minor_sigma,eccentricity,orientation_deg,tail_skewness,abs_tail_skewness,outer_intensity_fraction,delta_area,delta_mean_intensity,delta_total_intensity,centroid_motion,rolling_area_mean,rolling_area_std,rolling_intensity_mean,rolling_intensity_std
RHF_MPM_P25,0,0.0,0.0,0,11,0.01972222222222222,0.34944389242139756,284,25.818181818181817,0,0,7,0.05627167748842884,3,8,9,0.000625,32,101,0.0027846534653465345,96.44444444444444,57.22222222222222,0.004583333333333333,0.0,0.0,0.0,0.0,0,85.47535211267606,59.559859154929576,28.253984631802947,26.875110084811833,0.30858378617174437,101.63251795512535,-0.4332341922805267,0.4332341922805267,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.01972222222222222,0.0
RHF_MPM_P25,1,5e-05,0.05,0,255,3.1375,22.036348996222884,45180,177.1764705882353,5,93,255,0.7048279527637064,108,108,131,0.009097222222222222,12,13,0.8397435897435898,65.62595419847328,57.48854961832061,0.06041666666666667,0.003125,0.0125,0.008194444444444445,0.0060416666666666665,1,66.39154493138557,59.51062416998672,7.9059612734676525,5.535951647183625,0.7139222398312725,80.64698731101444,-0.08658098821458285,0.08658098821458285,0.025675077467906152,122,3.117777777777778,44896,19.083870692718943,70.0,61.0,1.5786111111111112,1.558888888888889
RHF_MPM_P25,2,0.0001,0.1,0,255,4.711319444444444,24.997570652702315,67843,266.0509803921569,21,131,255,1.065339735781973,98,98,194,0.013472222222222222,15,27,0.47901234567901235,66.87628865979381,61.83505154639175,0.09493055555555556,0.004166666666666667,0.019375,0.010416666666666666,0.007152777777777778,1,70.4315699482629,70.03648128767891,18.031258213745538,4.730510095077737,0.9649726426050494,68.50116085399621,1.0646107167279208,1.0646107167279208,0.01527055112539245,63,1.5738194444444442,22663,11.2745496672402,111.33333333333333,76.79554385220248,2.6228472222222226,1.949601965384491
RHF_MPM_P25,3,0.00015,0.15,0,255,4.8971527777777775,26.199913437176615,70519,276.5450980392157,21,147,255,0.9826702505760163,100,100,207,0.014375,12,27,0.6388888888888888,66.04830917874396,62.371980676328505,0.08520833333333333,0.004791666666666666,0.02298611111111111,0.012013888888888888,0.007847222222222222,1,69.6404940512486,69.45627419560685,16.665295817950874,4.5019062466587725,0.9628220088359776,66.81702621363425,1.0919779742270677,1.0919779742270677,0.01925722145804677,13,0.18583333333333307,2676,0.9810409494652645,135.25,78.35296739754021,3.1914236111111114,1.9546222646790579
RHF_MPM_P25,4,0.0002,0.2,0,255,4.4719444444444445,26.350970709449147,64396,252.53333333333333,15,166,255,0.7985589510141079,106,106,189,0.013125,13,30,0.4846153846153846,65.83068783068784,60.96296296296296,0.06694444444444445,0.004930555555555555,0.020972222222222222,0.01173611111111111,0.008472222222222223,1,68.3538884402758,67.78062302006336,17.35111463486959,4.442827573603765,0.9666623989970968,69.98769469976536,1.7323415470108046,1.7323415470108046,0.02071557239580098,-18,-0.42520833333333297,-6123,2.1126194310114115,146.0,73.30484295051727,3.4475277777777777,1.821756277551798
RHF_MPM_P25,5,0.00025,0.25,0,255,4.205,27.366089163618376,60552,237.45882352941177,1,194,255,0.62445297082715,107,107,214,0.014861111111111111,14,21,0.7278911564625851,65.82710280373831,61.32710280373832,0.051180555555555556,0.005833333333333334,0.018958333333333334,0.01326388888888889,0.00986111111111111,1,66.0414354604307,62.190035011230016,7.220308673422344,4.198126433993066,0.8135942192510812,85.70415006136585,0.2048445001629079,0.2048445001629079,0.010222618575769586,25,-0.26694444444444443,-3844,6.049968022106035,157.33333333333334,71.55572808812879,3.5737731481481476,1.686817342423075
RHF_MPM_P25,6,0.0003,0.3,0,255,4.916875,30.140646581410394,70803,277.6588235294118,4,235,255,0.675771276778169,108,108,262,0.018194444444444444,14,24,0.7797619047619048,65.68320610687023,62.782442748091604,0.05625,0.007222222222222222,0.02263888888888889,0.01673611111111111,0.012222222222222223,1,65.91292741832973,62.95947911811646,7.282810160573892,4.4351648953962926,0.7931772313379336,88.21805965820076,-0.1546102013270409,0.1546102013270409,0.004900922277304634,48,0.711875,10251,0.7801016283196102,172.28571428571428,75.69811147996133,3.765644841269841,1.630877758329354
RHF_MPM_P25,7,0.00035,0.35,0,255,4.903611111111111,29.723630017282904,70612,276.90980392156865,7,232,255,0.7016449659048883,108,108,248,0.017222222222222222,14,24,0.7380952380952381,65.74596774193549,62.29435483870968,0.058263888888888886,0.007222222222222222,0.0225,0.015902777777777776,0.011875,1,65.97943692290262,63.12310938650654,7.674962366563304,4.386524645060036,0.8205763251794473,87.31404574608763,0.15867229599137186,0.15867229599137186,0.004829207500141619,-14,-0.013263888888888964,-191,0.17663062852161557,181.75,75.10617484601383,3.9078906250000003,1.5712826037062066
RHF_MPM_P25,8,0.0004,0.4,0,255,4.800347222222222,29.145288591840345,69125,271.078431372549,11,227,255,0.7234786090365668,109,109,235,0.016319444444444445,14,22,0.762987012987013,65.78297872340426,61.63404255319149,0.060833333333333336,0.007083333333333333,0.021111111111111112,0.015416666666666667,0.011458333333333333,1,66.0219602169982,63.13562386980109,8.088233040439258,4.3033412393425285,0.8467131816000522,86.41494535639947,0.5118298494059788,0.5118298494059788,0.011009041591320072,-13,-0.10326388888888882,-1487,0.04432654772106789,187.66666666666666,72.76140613142535,4.007052469135803,1.5077360991312547
RHF_MPM_P25,9,0.00045,0.45,0,255,4.788680555555556,28.78397745241767,68957,270.41960784313727,13,216,255,0.740639482357606,108,108,233,0.016180555555555556,14,22,0.7564935064935064,65.6824034334764,61.51072961373391,0.06201388888888889,0.006458333333333333,0.021111111111111112,0.014861111111111111,0.010972222222222222,1,65.98197427382281,63.28110271618545,8.522784339996514,4.3455479115396916,0.8602489712098189,86.00749833177456,0.7294815596005154,0.7294815596005154,0.01479182679060864,-2,-0.011666666666666714,-168,0.15087402161058153,192.2,70.35453077094608,4.085215277777778,1.4494571922117596
