video_id,frame_index,physical_time_s,physical_time_ms,pixel_min,pixel_max,mean_intensity,std_intensity,total_intensity,effective_area,p95,p99,p999,entropy,otsu_threshold,segmentation_threshold,threshold_area,threshold_area_fraction,bbox_width,bbox_height,bbox_fill,threshold_centroid_x,threshold_centroid_y,nonzero_fraction,saturation_fraction,bright_fraction_64,bright_fraction_128,bright_fraction_200,active_candidate,centroid_x,centroid_y,major_sigma,minor_sigma,eccentricity,orientation_deg,tail_skewness,abs_tail_skewness,outer_intensity_fraction,delta_area,delta_mean_intensity,delta_total_intensity,centroid_motion,rolling_area_mean,rolling_area_std,rolling_intensity_mean,rolling_intensity_std
RHF_MPM_P44,0,0.0,0.0,0,11,0.01986111111111111,0.3466425995474123,286,26.0,0,0,7,0.05937255773579502,3,8,9,0.000625,64,107,0.001314252336448598,92.33333333333333,64.66666666666667,0.004861111111111111,0.0,0.0,0.0,0.0,0,84.32517482517483,65.63986013986013,30.696184861259482,25.606866125716994,0.5514566629718364,120.39829762170478,-0.029438963136597173,0.029438963136597173,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.01986111111111111,0.0
RHF_MPM_P44,1,5e-05,0.05,0,255,3.076388888888889,21.948978039076817,44300,173.72549019607843,3,96,255,0.6608402865733616,105,105,136,0.009444444444444445,14,13,0.7472527472527473,65.48529411764706,57.51470588235294,0.05576388888888889,0.0029861111111111113,0.012777777777777779,0.008263888888888888,0.005833333333333334,1,66.23471783295712,58.883860045146726,7.078397591940366,5.343041299425801,0.6559116244955139,72.10573519785065,-0.17030608740080025,0.17030608740080025,0.014943566591422121,127,3.0565277777777777,44014,19.3108304188879,72.5,63.5,1.548125,1.5282638888888889
RHF_MPM_P44,2,0.0001,0.1,0,255,4.4840277777777775,24.057059379716975,64570,253.2156862745098,21,124,255,1.086831848993447,101,101,171,0.011875,12,23,0.6195652173913043,66.11111111111111,60.53216374269006,0.09916666666666667,0.0038888888888888888,0.016805555555555556,0.009791666666666667,0.006736111111111111,1,68.44245005420474,68.54224872231687,15.024541052898059,5.264784676707177,0.9365955305399001,76.13896571051342,0.9754831235811517,0.9754831235811517,0.04023540343812916,35,1.4076388888888887,20270,9.90749985617075,105.33333333333333,69.60044699728746,2.526759259259259,1.8634672976773785
RHF_MPM_P44,3,0.00015,0.15,0,255,5.235347222222222,26.756428885129502,75389,295.64313725490194,23,148,255,1.1108756467962242,90,90,266,0.018472222222222223,16,37,0.44932432432432434,66.78195488721805,65.5375939849624,0.09895833333333333,0.004722222222222222,0.024583333333333332,0.012430555555555556,0.007916666666666667,1,68.71762458714136,70.15745002586584,16.499506560111204,5.427565258099063,0.9443462294691057,71.28471406503377,1.0768783770521577,1.0768783770521577,0.04621363859448991,95,0.7513194444444444,10819,1.6384737637701687,145.5,92.05025801158843,3.2039062499999997,1.9949854431404996
RHF_MPM_P44,4,0.0002,0.2,0,255,6.055625,29.273398101602943,87201,341.9647058823529,30,200,255,1.1422673764615092,103,103,247,0.017152777777777777,13,41,0.4634146341463415,66.29554655870446,63.611336032388664,0.10076388888888889,0.006111111111111111,0.02826388888888889,0.014513888888888889,0.010069444444444445,1,68.11212027385007,71.71260650680611,17.445588245774708,4.847152401636451,0.9606262017692826,77.90273752034993,0.8643342321272868,0.8643342321272868,0.022453870941846997,-19,0.8202777777777781,11812,1.6688760150547075,165.8,91.79847493286584,3.77425,2.117815267517506
RHF_MPM_P44,5,0.00025,0.25,0,255,5.879722222222222,30.109865583864618,84668,332.03137254901964,25,231,255,1.0713127994400813,107,107,253,0.017569444444444443,14,26,0.695054945054945,65.98418972332016,62.426877470355734,0.095,0.007083333333333333,0.023680555555555555,0.015694444444444445,0.011597222222222222,1,67.57699485047479,69.59490008031369,17.341626061338857,4.796443524630184,0.9609892936989713,77.91181282075318,1.396809580489894,1.396809580489894,0.020763452544054425,6,-0.17590277777777796,-2533,2.1842709830856286,180.33333333333334,89.88078524109342,4.125162037037037,2.0864597315698714
RHF_MPM_P44,6,0.0003,0.3,0,255,5.666597222222222,31.55127697413975,81599,319.99607843137255,17,247,255,0.8698775532776801,109,109,278,0.019305555555555555,15,25,0.7413333333333333,65.97841726618705,62.84532374100719,0.0751388888888889,0.008263888888888888,0.02423611111111111,0.017847222222222223,0.013125,1,66.35284746136595,64.94577139425728,10.624929396301365,4.47855487472189,0.9068219648484757,84.23561038486551,1.4341235331943263,1.4341235331943263,0.030196448485888306,25,-0.2131249999999998,-3069,4.807591327242221,194.28571428571428,89.95826696818013,4.345367063492064,2.0055806399419667
RHF_MPM_P44,7,0.00035,0.35,0,255,6.080486111111111,32.87394032575764,87559,343.3686274509804,18,252,255,0.8859003766519269,108,108,308,0.021388888888888888,15,28,0.7333333333333333,66.09740259740259,63.45779220779221,0.07673611111111112,0.009097222222222222,0.02715277777777778,0.019375,0.014583333333333334,1,66.38306741739855,65.04831028220971,10.106063511889301,4.496728813146241,0.895553650189204,86.60895105451849,1.0791657838345525,1.0791657838345525,0.0253771742482212,30,0.41388888888888875,5960,0.10689934183676672,208.5,92.16968048116473,4.562256944444444,1.9618481168564097
RHF_MPM_P44,8,0.0004,0.4,0,255,6.802152777777778,34.8915316585079,97951,384.121568627451,20,254,255,0.9490858999459714,108,108,352,0.024444444444444446,15,31,0.7569892473118279,66.13636363636364,64.78977272727273,0.0825,0.009930555555555555,0.030833333333333334,0.0225,0.016319444444444445,1,66.39406437912834,66.00947412481752,10.421376777990343,4.6713624060074,0.8939091873217865,84.98607299840087,0.9287629122995583,0.9287629122995583,0.017855866708864635,44,0.7216666666666667,10392,0.9612267503060264,224.44444444444446,97.90370678615359,4.8111342592592585,1.979069881215906
RHF_MPM_P44,9,0.00045,0.45,0,255,7.135486111111111,35.643515331408636,102751,402.9450980392157,23,255,255,0.9977009494588163,108,108,364,0.025277777777777777,15,32,0.7583333333333333,66.13736263736264,64.90934065934066,0.08701388888888889,0.010625,0.03277777777777778,0.02326388888888889,0.016944444444444446,1,66.36895018053352,66.3428190479898,10.713747067215323,4.736036129033663,0.8969892961311761,85.48587669090928,0.8418004375856907,0.8418004375856907,0.012934180689239034,12,0.33333333333333304,4800,0.33428963605801576,238.4,101.87953670880134,5.0435694444444445,2.002818232658917
