calinski_harabasz_mean,calinski_harabasz_std,confidence_mean_mean,confidence_mean_std,confident_fraction_080_mean,confident_fraction_080_std,davies_bouldin_mean,davies_bouldin_std,edge_accuracy_mean,edge_accuracy_std,edge_latency_us_per_frame_mean,edge_latency_us_per_frame_std,edge_macro_f1_mean,edge_macro_f1_std,extreme_separation_std_mean,extreme_separation_std_std,feature_set,fit_seconds_mean,fit_seconds_std,model,protocol,raw_switches_per_1000_mean,raw_switches_per_1000_std,runs,silhouette_mean,silhouette_std,switch_reduction_fraction_mean,switch_reduction_fraction_std,temporal_short_run_frame_fraction_mean,temporal_short_run_frame_fraction_std,temporal_switches_per_1000_mean,temporal_switches_per_1000_std
1842.8297760813487,309.3868353119771,0.9880133589208985,0.002976738363371442,0.9759528111824206,0.006479454176358445,2.060209329846063,0.30829559906621384,nan,nan,nan,nan,nan,nan,1.7097031889344858,0.49737240460774734,physical_temporal,1.4212123448727652,0.5982773085341054,anchored_gmm,cross_validation,80.6615450277422,21.12575776751558,15,0.21899277955917984,0.021934636943674268,0.3064798770348064,0.06376573134413958,0.018759216565933497,0.01754346554225889,57.10627400768247,20.366619688704457
13227.005037761994,141.68097472370883,0.9816313692544885,0.00027010520533327846,0.9631129665399714,0.00044351998056085535,0.7015064006531025,0.003909219804334396,nan,nan,nan,nan,nan,nan,2.4119160763735508,0.003592743018157022,appearance,0.44910055670576793,0.05662397495513372,anchored_gmm,holdout,122.66325224071703,0.4557011631255384,3,0.4566682834694314,0.0022040701983072532,0.2508667856506347,0.0008594663301099391,0.06561156458346314,0.00022175999028041857,91.89073836961161,0.24143637428478054
13242.808200593872,131.32672347376695,0.9820826185412184,1.3165900269746007e-07,0.9642345317465263,0.0,0.699014071113505,0.002526928911456163,nan,nan,nan,nan,nan,nan,2.4211510015287394,0.0,appearance,1.342454272011916,0.17426394894158675,gmm,holdout,121.83098591549295,1.4210854715202004e-14,3,0.45804545941885005,0.0017558238321453705,0.24855491329479773,0.0,0.06467692691133405,0.0,91.54929577464789,0.0
13218.057264712996,137.3371559322608,0.8933942781408946,7.069272635230124e-05,0.7862379795210502,0.00010590523840725063,0.6835651939691924,0.002204339941697513,nan,nan,nan,nan,nan,nan,2.516283061116582,0.0005005176418638861,appearance,1.243280304595828,0.18060788007979828,kmeans,holdout,117.34955185659412,0.34277376022639705,3,0.4621417795722144,0.001928800441936655,0.36406136797824146,0.001659299929959378,0.05020042785635658,0.0001280331900838896,74.62654716175842,0.030179546785600916
14840.833509641896,136.5425785316587,0.9206617887676546,0.0002319032112251322,0.8447255280702848,0.000928385844959263,0.6371881136703824,0.0012979578697296231,nan,nan,nan,nan,nan,nan,2.4631183506848178,0.0046082195027779315,basic,0.2833471296665569,0.12843590929112222,anchored_gmm,holdout,123.32479726845924,0.21762780681147292,3,0.48609283920192586,0.0019007616763638908,0.3839778997693992,0.0009383769097119335,0.04378258250773673,0.00037500716732647636,75.97097737942808,0.24143637428478054
15343.57502477167,222.01190425506226,0.9220101636598977,1.1294019004244676e-05,0.8443101335493385,0.00025096155468864117,0.6318418220593204,0.0027014248682372343,nan,nan,nan,nan,nan,nan,2.451581473545485,0.00028732765292172817,basic,1.0007012090257679,0.19247787037517977,gmm,holdout,126.46180110968844,0.060359093571195135,3,0.49660359009635086,0.0022880735737530367,0.39891976258157674,0.0005257132359952788,0.04534031196128523,5.874565652577053e-05,76.01365770379856,0.03017954678559422
15379.271068778799,180.1520066494107,0.9108874771677566,4.367857206707408e-05,0.8221696055829023,5.087523091330103e-05,0.619084639159387,0.0012393187470943821,nan,nan,nan,nan,nan,nan,2.5024689986377027,0.000836808470552117,basic,0.671767653276523,0.22075636794431733,kmeans,holdout,125.24541186513018,0.15969515095065984,3,0.5000483220852944,0.0017984816828314919,0.41506094919790976,0.0009772995920140609,0.043491806343074334,0.0,73.26077678190354,0.030179546785600916
3281.3411393449787,97.80752566280677,0.9860892446304711,0.0018705094657429722,0.9716908633975118,0.004002795575448262,1.3954799882765518,0.02502766673123275,nan,nan,nan,nan,nan,nan,2.2701198744528575,0.09544226776054708,physical,1.0013826636131853,0.13867880232605442,anchored_gmm,holdout,108.2373026034998,11.649422336681816,3,0.22590899218108465,0.017697588645709868,0.23753214587780233,0.00409956652481762,0.05179969676199971,0.006550338274721534,82.47972684592402,8.405044416423301
3190.460139112989,36.521212119563735,0.9873334967363601,3.4988566164611885e-07,0.974287079153426,2.9372828262852556e-05,1.418035807024683,0.006769541623375996,nan,nan,nan,nan,nan,nan,2.201761155466796,0.0,physical,4.105270392998743,0.7155459936303017,gmm,holdout,99.23175416133161,1.4210854715202004e-14,3,0.21352981179633215,0.0006167489945652595,0.22838709677419355,0.0,0.047043429497164925,6.938893903907228e-18,76.5685019206146,0.0
3646.0477478615903,38.524818626524116,0.7397445594139688,0.00011392316013550813,0.3119197457785532,0.0005867217850260947,1.2954329753256328,0.0025090100403484983,nan,nan,nan,nan,nan,nan,2.4383752976671724,0.000714626682251888,physical,1.751100397668779,0.22981711134668095,kmeans,holdout,117.96841655996586,0.060359093571195135,3,0.2811309270017431,0.00046056924847349485,0.6957302218736432,0.0011785640403590698,0.012441065902340747,0.00011749131305153778,35.89415279556125,0.12071818714239027
1762.2223603971788,22.82347216823417,0.990016311612206,6.9666755421487146e-06,0.9803310694331943,0.00014686414131441977,2.115360640139183,0.0012574466954555182,0.9590628699607452,0.000616829393520584,0.2640949469059706,0.07846247348184977,0.9589673463217094,0.0007643752031744827,1.4517852977095078,0.0030297525256362382,physical_temporal,1.460371149975496,0.3939268269774505,anchored_gmm,holdout,67.28553137003841,0.9053864035679271,3,0.25783517363579644,0.0025810435626969935,0.38294446821315775,0.009991613887398006,0.005337819594159553,0.00023498262610307515,41.527955612462655,1.2373614182094936
1771.0477726500858,20.75221325384265,0.9900231968052023,9.95580976766989e-07,0.979915674912248,2.937282826290489e-05,2.11832007749025,0.0027682339994135117,nan,nan,nan,nan,nan,nan,1.455894261877968,2.622007833392074e-05,physical_temporal,9.369149864340821,0.22036527328856031,gmm,holdout,68.52326077678191,0.060359093571195135,3,0.2601493091997652,0.0017790051621255575,0.3684205622795839,0.000556676975095147,0.005670135210916568,0.0,43.27784891165172,7.105427357601002e-15
3264.2501265652804,24.91271691274135,0.7877822708778964,0.00017368870800304426,0.5345919787318006,0.0004266649756823041,1.0944260537761963,0.007732082345624492,nan,nan,nan,nan,nan,nan,1.8354936566711235,0.0033180475945355963,physical_temporal,2.895435092621483,0.6537836695823191,kmeans,holdout,62.09987195902689,0.09053864035678935,3,0.3209768280590824,0.002788238846798022,0.3711348086993081,0.0005405395261908832,0.05387666936673105,5.874565652577053e-05,39.052496798975675,0.0905386403567927
