calinski_harabasz,cluster_0_fraction,cluster_1_fraction,cluster_2_fraction,confidence_mean,confident_fraction_080,confident_fraction_095,davies_bouldin,edge_accuracy,edge_balanced_accuracy,edge_latency_us_per_frame,edge_macro_f1,edge_parameter_count,extreme_separation_std,feature_count,feature_set,fit_seconds,fold,model,protocol,raw_mean_run_length,raw_median_run_length,raw_short_run_frame_fraction,raw_switches,raw_switches_per_1000,seed,silhouette,switch_reduction_fraction,task_id,temporal_mean_run_length,temporal_median_run_length,temporal_short_run_frame_fraction,temporal_switches,temporal_switches_per_1000,test_frames,thermal_mean_nominal,thermal_mean_over,thermal_mean_under,thermal_monotonic,train_frames
1857.490475145999,0.4189046046482647,0.3245685089413671,0.25652688641036825,0.990004547257147,0.9799364446382952,0.9563212661224998,2.381304416753811,,,,,,1.335457318388944,26,physical_temporal,1.7579131369711831,0,anchored_gmm,cross_validation,10.814690026954178,7.0,0.02592061810704717,1055,67.5416133162612,42,0.2394741258028007,0.32890995260663514,cv__physical_temporal__anchored_gmm__fold0__seed42,14.115215479331574,10.0,0.005794753567200449,708,45.32650448143406,16049,0.7980183571886689,1.2567389148839005,-2.6087183382674226,True,64196
1840.3933344417978,0.4189669138264066,0.3245685089413671,0.2564645772322263,0.9899876099924879,0.980123372172721,0.9563212661224998,2.3567636505149356,,,,,,1.3355445990284835,26,physical_temporal,2.269291523960419,0,anchored_gmm,cross_validation,10.814690026954178,7.0,0.02592061810704717,1055,67.5416133162612,43,0.23551181346747563,0.32890995260663514,cv__physical_temporal__anchored_gmm__fold0__seed43,14.115215479331574,10.0,0.005794753567200449,708,45.32650448143406,16049,0.7980183571886689,1.2572522134514437,-2.60845767194542,True,64196
1880.3826084408165,0.4149791264253225,0.33185868278397407,0.25316219079070346,0.9896367620439206,0.9786902610754564,0.9568820487257773,2.339969199654312,,,,,,1.316649179056849,26,physical_temporal,1.3245703160064295,0,anchored_gmm,cross_validation,11.342049469964664,7.0,0.023116705090659856,986,63.124199743918055,44,0.23866272944416075,0.31034482758620685,cv__physical_temporal__anchored_gmm__fold0__seed44,14.471596032461678,10.0,0.0067917004174714935,680,43.53393085787452,16049,0.8483870591958995,1.180203764030669,-2.6308136671971556,True,64196
1358.883261655153,0.21353355349242945,0.2837559972583962,0.5027104492491744,0.9904490492922101,0.9811203190229921,0.9601221259891582,2.2468408613505817,,,,,,1.384546254993345,26,physical_temporal,0.9605600530048832,1,anchored_gmm,cross_validation,11.053030303030303,6.0,0.029534550439279706,1023,65.49295774647888,42,0.20879230810286514,0.3753665689149561,cv__physical_temporal__anchored_gmm__fold1__seed42,15.027153558052435,10.0,0.007975574802168359,639,40.90909090909091,16049,0.7628828242800909,1.4174717294950607,-2.1327107907418017,True,64196
2113.915275411715,0.20711570814380958,0.480216835939934,0.31266745591625644,0.98403063361493,0.967661536544333,0.9302137204810269,1.705731659250641,,,,,,2.4706303544732093,26,physical_temporal,0.5152740780031309,1,anchored_gmm,cross_validation,7.595362044486512,3.0,0.06935011527197957,1684,107.81049935979513,43,0.18187704857327666,0.24287410926365793,cv__physical_temporal__anchored_gmm__fold1__seed43,9.418427230046948,4.0,0.043117951274222695,1275,81.62612035851473,16049,0.20722725702505962,3.244087944162924,-3.0909757395415633,True,64196
1412.4601416418657,0.2125366066421584,0.28500218082123496,0.5024612125366067,0.9903998236066424,0.9811203190229921,0.9598728892765904,2.2442218714215474,,,,,,1.3840793306341075,26,physical_temporal,1.5456946780905128,1,anchored_gmm,cross_validation,11.0,6.0,0.029472241261137764,1030,65.94110115236876,44,0.21445189519366528,0.3805825242718447,cv__physical_temporal__anchored_gmm__fold1__seed44,15.041237113402062,10.0,0.007975574802168359,638,40.84507042253521,16049,0.7703490247869782,1.4103305173691738,-2.1386547393653252,True,64196
1693.7198037955518,0.3625147984298087,0.28032899246058945,0.35715620910960183,0.9889633866212203,0.9782540968284629,0.9529565705028351,2.251879738085513,,,,,,1.3654915159284295,26,physical_temporal,1.631159918033518,2,anchored_gmm,cross_validation,10.307642903018625,6.0,0.029472241261137764,1128,72.21510883482715,42,0.24066935527378958,0.34397163120567376,cv__physical_temporal__anchored_gmm__fold2__seed42,13.728828058169375,8.0,0.005794753567200449,740,47.37516005121639,16049,0.1450252258595217,1.0972090112562334,-2.396127801550244,True,64196
1698.7181632671156,0.3620786341828151,0.2810767025982927,0.35684466321889213,0.9889533682519118,0.978004860115895,0.9525204062558414,2.2162834318604268,,,,,,1.3650611815458866,26,physical_temporal,2.7515139220049605,2,anchored_gmm,cross_validation,10.360877985797288,6.0,0.02853760358900866,1120,71.70294494238156,43,0.23701002685230724,0.3375,cv__physical_temporal__anchored_gmm__fold2__seed43,13.705380017079419,8.0,0.005794753567200449,742,47.50320102432779,16049,0.15069743143364953,1.093307820118145,-2.3989280682791967,True,64196
1728.7567094457515,0.3567200448626083,0.2889276590441772,0.35435229609321456,0.9888361899923974,0.9773194591563338,0.9526450246121254,2.242777877987066,,,,,,1.3546187825602403,26,physical_temporal,1.0841588180046529,2,anchored_gmm,cross_validation,10.414665801427644,6.0,0.0285999127671506,1112,71.19078104993598,44,0.23942360585902736,0.36420863309352525,cv__physical_temporal__anchored_gmm__fold2__seed44,14.127640845070422,9.0,0.005857062745342389,707,45.26248399487836,16049,0.224538425411137,1.0339925178406548,-2.431528582244166,True,64196
2406.5397174777518,0.1777680852389557,0.41622530998816126,0.40600660477288303,0.9832670825722212,0.9674122998317652,0.9289052277400461,1.6397424894453871,,,,,,2.39120864922847,26,physical_temporal,0.8442842629738152,3,anchored_gmm,cross_validation,7.331658291457287,3.0,0.07701414418343822,1760,112.67605633802818,42,0.20272591189836384,0.2318181818181818,cv__physical_temporal__anchored_gmm__fold3__seed42,9.011229646266143,4.0,0.0485388497725715,1352,86.55569782330346,16049,0.12318131408447115,3.4782892619893873,-3.2135833977165658,True,64196
